# Residuals   
# Time        	p             	Ux            	Uy            
36.4          	2.267713e-02	8.032566e-04	5.346563e-04
36.5          	2.274976e-02	7.835079e-04	5.298557e-04
36.6          	2.214049e-02	7.939790e-04	5.282052e-04
36.7          	2.220078e-02	7.755505e-04	5.234793e-04
36.8          	2.240055e-02	7.859619e-04	5.224160e-04
36.9          	2.266898e-02	7.668747e-04	5.184877e-04
37            	2.212876e-02	7.806937e-04	5.168318e-04
37.1          	2.237502e-02	7.597082e-04	5.134022e-04
37.2          	2.184362e-02	7.736140e-04	5.113847e-04
37.3          	2.121129e-02	7.520007e-04	5.072502e-04
37.4          	2.037634e-02	7.639485e-04	5.055302e-04
37.5          	2.035540e-02	7.465446e-04	5.008714e-04
37.6          	1.980470e-02	7.564824e-04	4.996674e-04
37.7          	1.981870e-02	7.402007e-04	4.950083e-04
37.8          	1.931833e-02	7.493029e-04	4.939905e-04
37.9          	1.933400e-02	7.337570e-04	4.894228e-04
38            	1.886612e-02	7.423761e-04	4.885126e-04
38.1          	1.888064e-02	7.273611e-04	4.840185e-04
38.2          	1.843771e-02	7.356193e-04	4.831789e-04
38.3          	1.845208e-02	7.210257e-04	4.787535e-04
38.4          	1.802901e-02	7.289853e-04	4.779765e-04
38.5          	1.804273e-02	7.147568e-04	4.736017e-04
38.6          	1.763676e-02	7.224470e-04	4.729012e-04
38.7          	1.764933e-02	7.085537e-04	4.685683e-04
38.8          	1.725878e-02	7.159909e-04	4.679183e-04
38.9          	1.727084e-02	7.024163e-04	4.636338e-04
39            	1.689564e-02	7.096112e-04	4.630142e-04
39.1          	1.691048e-02	6.963501e-04	4.587875e-04
39.2          	1.655314e-02	7.033231e-04	4.581944e-04
39.3          	1.656962e-02	6.903518e-04	4.540243e-04
39.4          	1.623334e-02	6.970467e-04	4.534472e-04
39.5          	1.625024e-02	6.844686e-04	4.493299e-04
39.6          	1.592991e-02	6.908902e-04	4.487683e-04
39.7          	1.594489e-02	6.785892e-04	4.447090e-04
39.8          	1.563621e-02	6.847997e-04	4.441692e-04
39.9          	1.564833e-02	6.727410e-04	4.401818e-04
40            	1.534834e-02	6.787520e-04	4.396553e-04
40.1          	1.535799e-02	6.669299e-04	4.357253e-04
40.2          	1.507274e-02	6.727499e-04	4.352047e-04
40.3          	1.507318e-02	6.611612e-04	4.313356e-04
40.4          	1.479041e-02	6.667836e-04	4.308071e-04
40.5          	1.479312e-02	6.554189e-04	4.269994e-04
40.6          	1.504039e-02	6.609981e-04	4.266214e-04
40.7          	1.515085e-02	6.488868e-04	4.230043e-04
40.8          	1.491057e-02	6.567430e-04	4.224120e-04
40.9          	1.500596e-02	6.430734e-04	4.191646e-04
41            	1.476934e-02	6.510802e-04	4.183118e-04
41.1          	1.427778e-02	6.369667e-04	4.148568e-04
41.2          	1.382004e-02	6.436540e-04	4.141949e-04
41.3          	1.377072e-02	6.322917e-04	4.104708e-04
41.4          	1.348701e-02	6.375576e-04	4.099498e-04
41.5          	1.346551e-02	6.268900e-04	4.063377e-04
41.6          	1.320695e-02	6.316179e-04	4.057934e-04
41.7          	1.318574e-02	6.213916e-04	4.022984e-04
41.8          	1.340889e-02	6.259395e-04	4.018377e-04
41.9          	1.348208e-02	6.151592e-04	3.985436e-04
42            	1.327433e-02	6.217011e-04	3.978827e-04
42.1          	1.333181e-02	6.096001e-04	3.949504e-04
42.2          	1.313124e-02	6.162287e-04	3.940431e-04
42.3          	1.267624e-02	6.037814e-04	3.909615e-04
42.4          	1.227994e-02	6.091613e-04	3.902781e-04
42.5          	1.221413e-02	5.992325e-04	3.869566e-04
42.6          	1.197186e-02	6.033572e-04	3.863853e-04
42.7          	1.193590e-02	5.939984e-04	3.831553e-04
42.8          	1.171523e-02	5.976017e-04	3.825668e-04
42.9          	1.168030e-02	5.886880e-04	3.794466e-04
